rollout_id,theta_true_id,true_u_req,selected_u_ctrl,recomputed_u_ctrl,under_control_amount,true_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_quantile_level,posterior_cdf_at_true_u_req,selected_actions,observations,true_M_values,true_K_values
6,12,0.6,0.3,0.6,0.3,False,2.2200142633324687,0.6189820614868227,0.09189844397671317,0.07132759956704392,1.0,0.9999999999999999,9 0,2.4023617 1.9467683,0.023702419 0.010354591 0.042286045 0.045995469 0.051778461,0.084687714 0.26980215 0.14577395 0.10971333 0.27772922
8,12,0.6,0.3,0.45,0.3,False,1.9900623094504035,0.5417624169304741,0.2773031545752333,0.02553684007406399,1.0,1.0000000000000002,7 8,1.3984083 3.6383395,0.023702419 0.010354591 0.042286045 0.045995469 0.051778461,0.084687714 0.26980215 0.14577395 0.10971333 0.27772922
36,5,0.25,0.05,0.15,0.2,False,1.0000000918611636,0.9999999540694203,0.050000004593057985,2.1431420306311157e-05,1.0,1.0,22 28,2.6839007 7.0097323,0.046239497 0.037061343 0.02384456 0.0180326 0.058496271,0.20380763 0.29465118 0.1383336 0.49826354 0.15944696
39,14,0.3,0.05,0.35,0.25,False,1.0471206800114508,0.9769694758643457,0.05575763103391502,0.037500099244621714,1.0,0.9999999999999717,20 18,2.9552294 4.8607843,0.017526242 0.034110619 0.054735793 0.031135845 0.039475103,0.48423548 0.2307363 0.18285542 0.43114927 0.10600715
40,6,0.6,0.25,0.6,0.35,False,1.0347094033717465,0.982993231930591,0.2516627344323786,0.018722559425970828,1.0,1.0,18 9,3.4650438 2.8606768,0.035803429 0.015793281 0.041174488 0.048834156 0.040650165,0.16559036 0.082935533 0.1660114 0.39340784 0.36405211
46,12,0.6,0.3,0.6,0.3,False,2.186205716196546,0.6127649249807663,0.09862943848973924,0.07474325690815894,1.0,1.0,4 25,2.410898 2.5168614,0.023702419 0.010354591 0.042286045 0.045995469 0.051778461,0.084687714 0.26980215 0.14577395 0.10971333 0.27772922
47,12,0.6,0.15,0.6,0.44999999999999996,False,1.9658848446587085,0.5662808975581941,0.10666753480619158,0.04965198736716948,1.0,1.0,5 28,1.8658225 4.1209401,0.023702419 0.010354591 0.042286045 0.045995469 0.051778461,0.084687714 0.26980215 0.14577395 0.10971333 0.27772922
59,5,0.25,0.05,0.45,0.2,False,1.0000000002559215,0.9999999998720392,0.050000000012807994,1.1338268742206262e-06,1.0,0.9999999999999603,3 24,6.2258794 2.4097074,0.046239497 0.037061343 0.02384456 0.0180326 0.058496271,0.20380763 0.29465118 0.1383336 0.49826354 0.15944696
65,6,0.6,0.3,0.6,0.3,False,1.9231078554141445,0.6657682083437366,0.13134434216663113,0.11574470239424382,1.0,1.0,10 23,1.487048 3.6139497,0.035803429 0.015793281 0.041174488 0.048834156 0.040650165,0.16559036 0.082935533 0.1660114 0.39340784 0.36405211
80,6,0.6,0.3,0.6,0.3,False,1.2277751591909856,0.8987734221265011,0.0745323089210707,0.07383678592533498,1.0,1.0,10 13,1.487048 3.4235065,0.035803429 0.015793281 0.041174488 0.048834156 0.040650165,0.16559036 0.082935533 0.1660114 0.39340784 0.36405211
